Date,Avg. Temperature(°F),Avg. Humidity(%),Avg. Dewpoint(°F),Avg. Barometer(in),Avg. Windspeed(mph),Avg. Gust speed(mph),Avg. Direction(°deg),Rainfall for month(in),Rainfall for year(in),Max. rain per minute,Max. Temperature(°F),Min. Temperature(°F),Max. Humidity(%),Min. Humidity(%),Max. Pressure,Min. Pressure,Max. Windspeed(mph),Max. Gust speed(mph),Max. Heat Index(°F)
2022-11-30 00:00:00,32.2,38,8.6,30,13.7,20,256,0.4,9.11,0.01,41.4,16.3,54,24,30.205,29.723,25.3,34.5,41.4
2022-12-01 00:00:00,41.6,31,12.8,29.6,15.5,23.2,263,0,9.03,0,48.5,35.1,43,21,29.737,29.414,29.9,46,48.5
2022-12-02 00:00:00,29.1,58,15.4,29.7,9.6,14.6,274,0,9.03,0,41.1,20.2,88,38,30.187,29.357,24.2,39.1,41.1
2022-12-03 00:00:00,34,48,16.1,30.2,13.7,19.3,265,0,9.03,0,39.9,26.6,63,36,30.33,30.076,26.5,36.8,39.9
2022-12-04 00:00:00,41.9,54,26.4,29.8,12.3,17.7,264,0.01,9.04,0.01,47.7,32.7,69,43,30.095,29.621,26.5,39.1,47.7
2022-12-05 00:00:00,35.7,70,26.2,29.6,5.5,8.4,262,0.01,9.04,0,42,25.5,92,46,29.651,29.544,19.6,27.6,42
2022-12-06 00:00:00,26,71,17.5,29.9,4.7,6.9,269,0.14,9.17,0.01,32.4,19.2,92,50,30.069,29.655,17.3,25.3,32.4
2022-12-07 00:00:00,28.3,54,12.8,30.1,4.2,6.3,274,0.18,9.21,0.01,39.3,16.3,88,31,30.132,29.995,19.6,31.1,39.3
2022-12-08 00:00:00,25,53,8.9,30.1,11.9,17.8,265,0.18,9.21,0,30.3,12.3,94,28,30.235,29.972,27.6,44.9,30.3
2022-12-09 00:00:00,29.1,34,2.7,30,10,15.3,243,0.18,9.21,0,36.8,15,52,14,30.152,29.853,24.2,38,36.8
2022-12-10 00:00:00,35,29,4.9,30,10.6,15.6,259,0.18,9.21,0,42.2,26.4,46,19,30.073,29.837,25.3,36.8,42.2
2022-12-11 00:00:00,37.8,28,4.5,29.7,6.2,9.5,261,0.18,9.21,0,48.3,22,64,13,29.836,29.539,20.7,29.9,48.3
2022-12-12 00:00:00,30.7,51,12.2,29.4,2.8,4.5,99,0.18,9.21,0,44.9,17.6,89,21,29.555,29.315,13.8,19.6,44.9
2022-12-13 00:00:00,20.1,52,4.9,29.5,12.3,18.8,271,0.18,9.21,0,23.9,16.3,89,40,29.687,29.324,21.9,33.4,23.9
